feature,gini_importance,permutation_importance_mean,permutation_importance_std
max_consecutive_dry_days,0.2120968168486713,0.2846859903381643,0.03503093720765566
heatwave_max_streak,0.0730644639383696,0.031565217391304363,0.011259960752273236
elevation_m,0.041007612877268576,0.005275362318840582,0.0016858173021402488
heat_days_35,0.029598884425125118,0.003449275362318871,0.003290858700403393
spring_severe_frost_days,0.05370417331661627,0.003149758454106255,0.003221957850803534
tc_def_growing_sum,0.029551151168018853,0.001671497584541054,0.0011534063026930829
summer_precip_mm,0.03499389828588631,0.0015845410628019196,0.002942405757110703
mean_summer_tmax,0.018480289718210512,0.001526570048309167,0.0015792299348413035
max_summer_tmax,0.016557480012960955,0.00148792270531401,0.0009208697628942143
latitude,0.016483387402692038,0.0014299516908212572,0.0004903798083265534
min_spring_tmin,0.04554389073229933,0.0014009661835748754,0.0025282829194453282
longitude,0.04418687218380602,0.0013719806763285158,0.0011430404963223382
gdd_growing_season,0.01485730134851552,0.001149758454106281,0.0016583211909064486
tc_soil_growing_min,0.017282868220458127,0.0009855072463768378,0.0006435101760520635
tc_ppt_summer_sum,0.052776712466002226,0.0005507246376811658,0.0037030301144808453
spring_frost_days,0.038024474901751225,0.0002318840579710102,0.0011555490927711368
dry_days,0.017300361036972328,-2.8985507246370722e-05,0.0021693134378454946
heat_days_30,0.02131364237033056,-4.830917874394936e-05,0.0015505666089509448
heat_days_38,0.002192336651853295,-8.695652173912883e-05,0.0003023089439065068
subregion,0.011573314386719791,-0.00029951690821255485,0.00087379540043976
annual_precip_mm,0.033811177515140296,-0.0003478260869564986,0.002013374497025106
tc_soil_summer_min,0.01766440974489308,-0.0005893719806763231,0.0006509381744039177
tc_vpd_growing_mean,0.054614453882004366,-0.0009178743961352542,0.002586684740140588
tc_ppt_growing_sum,0.04585030004453523,-0.001033816425120776,0.001164682101992835
tc_vpd_summer_mean,0.03076206241166123,-0.0012657004830917752,0.0016628184938276484
tc_def_summer_sum,0.026707664109237784,-0.0023768115942028934,0.000892033923677978
